scenario_id,run_id,step,t,vehicle_id,vehicle_type,compliance_state,x_global,y,v,a,physical_lane,road_role,primary_leader_id,lane_change_state,merge_state,active_event_tags
P16-RANDOM-DEMO-internal,p16_seeded_demo,19,1.9000000000000006,p16_16001_lane_1_0000,cav,not_applicable,3.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,20,2.0000000000000004,p16_16001_lane_1_0000,cav,not_applicable,6.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,20,2.0000000000000004,p16_16001_lane_2_0000,cav,not_applicable,3.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,21,2.1000000000000005,p16_16001_lane_1_0000,cav,not_applicable,9.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,21,2.1000000000000005,p16_16001_lane_2_0000,cav,not_applicable,6.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,22,2.2000000000000006,p16_16001_lane_1_0000,cav,not_applicable,12.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,22,2.2000000000000006,p16_16001_lane_2_0000,cav,not_applicable,9.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,23,2.3000000000000007,p16_16001_lane_1_0000,cav,not_applicable,15.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,23,2.3000000000000007,p16_16001_lane_2_0000,cav,not_applicable,12.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,24,2.400000000000001,p16_16001_lane_1_0000,cav,not_applicable,18.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,24,2.400000000000001,p16_16001_lane_2_0000,cav,not_applicable,15.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,25,2.500000000000001,p16_16001_lane_1_0000,cav,not_applicable,21.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,25,2.500000000000001,p16_16001_lane_2_0000,cav,not_applicable,18.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,26,2.600000000000001,p16_16001_lane_1_0000,cav,not_applicable,24.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,26,2.600000000000001,p16_16001_lane_2_0000,cav,not_applicable,21.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,27,2.700000000000001,p16_16001_lane_1_0000,cav,not_applicable,27.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,27,2.700000000000001,p16_16001_lane_2_0000,cav,not_applicable,24.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,28,2.800000000000001,p16_16001_lane_1_0000,cav,not_applicable,30.0,3.5,30.0,0.0,lane_1,mainline,,normal,none,commit
P16-RANDOM-DEMO-internal,p16_seeded_demo,28,2.800000000000001,p16_16001_lane_2_0000,cav,not_applicable,27.0,0.0,30.0,0.0,lane_2,mainline,,normal,none,commit
