scenario_id,run_id,step,t,vehicle_id,vehicle_type,compliance_state,x_global,y,v,a,physical_lane,road_role,primary_leader_id,lane_change_state,merge_state,active_event_tags
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,MV_CACHE,cav,not_applicable,6892.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,CLV_CACHE,cav,not_applicable,6941.993939393939,0.0,19.93939393939394,-0.6060606060605974,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,CFV_CACHE,cav,not_applicable,6842.04,0.0,20.4,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,CV_ACTIVE_LC,cav,not_applicable,6902.04,1.0570099874477326,20.4,4.0,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,TLV_ACTIVE,cav,not_applicable,6962.04,3.5,20.4,4.0,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,TFV_ACTIVE,cav,not_applicable,6822.04,3.5,20.4,4.0,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,MV_ACTIVE_MERGE,cav,not_applicable,7011.8,-2.195848769945919,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,CLV_MERGE,cav,not_applicable,7061.84,0.0,18.4,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,20,2.0,CFV_MERGE,cav,not_applicable,6971.84,0.0,18.4,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,MV_CACHE,cav,not_applicable,6894.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,CLV_CACHE,cav,not_applicable,6943.990192837466,0.0,19.96253443526171,0.23140495867769306,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,CFV_CACHE,cav,not_applicable,6844.1184,0.0,20.784,3.8400000000000007,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,CV_ACTIVE_LC,cav,not_applicable,6904.1184,1.1633372767431145,20.784,3.8400000000000007,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,TLV_ACTIVE,cav,not_applicable,6964.1184,3.5,20.784,3.8400000000000007,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,TFV_ACTIVE,cav,not_applicable,6824.1184,3.5,20.784,3.8400000000000007,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,MV_ACTIVE_MERGE,cav,not_applicable,7013.6,-2.0994924659002123,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,CLV_MERGE,cav,not_applicable,7063.72,0.0,18.799999999999997,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,21,2.1,CFV_MERGE,cav,not_applicable,6973.72,0.0,18.799999999999997,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,MV_CACHE,cav,not_applicable,6896.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,CLV_CACHE,cav,not_applicable,6945.977430503381,0.0,19.87237665915352,-0.9015777610818874,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,CFV_CACHE,cav,not_applicable,6846.233664,0.0,21.152639999999998,3.686400000000001,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,CV_ACTIVE_LC,cav,not_applicable,6906.233664,1.274114876469965,21.152639999999998,3.686400000000001,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,TLV_ACTIVE,cav,not_applicable,6966.233664,3.5,21.152639999999998,3.686400000000001,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,TFV_ACTIVE,cav,not_applicable,6826.233664,3.5,21.152639999999998,3.686400000000001,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,MV_ACTIVE_MERGE,cav,not_applicable,7015.400000000001,-2.0020188694664407,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,CLV_MERGE,cav,not_applicable,7065.64,0.0,19.199999999999996,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,22,2.2,CFV_MERGE,cav,not_applicable,6975.64,0.0,19.199999999999996,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,MV_CACHE,cav,not_applicable,6898.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,CLV_CACHE,cav,not_applicable,6947.96456435125,0.0,19.871338478701364,-0.010381804521544136,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,CFV_CACHE,cav,not_applicable,6848.38431744,0.0,21.5065344,3.5389440000000008,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,CV_ACTIVE_LC,cav,not_applicable,6908.38431744,1.3888967520540703,21.5065344,3.5389440000000008,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,TLV_ACTIVE,cav,not_applicable,6968.38431744,3.5,21.5065344,3.5389440000000008,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,TFV_ACTIVE,cav,not_applicable,6828.38431744,3.5,21.5065344,3.5389440000000008,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,MV_ACTIVE_MERGE,cav,not_applicable,7017.200000000001,-1.9037395939638002,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,CLV_MERGE,cav,not_applicable,7067.6,0.0,19.599999999999994,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,23,2.3000000000000003,CFV_MERGE,cav,not_applicable,6977.6,0.0,19.599999999999994,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,MV_CACHE,cav,not_applicable,6900.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,CLV_CACHE,cav,not_applicable,6949.943485709584,0.0,19.789213583334295,-0.8212489536707056,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,CFV_CACHE,cav,not_applicable,6850.5689447424,0.0,21.846273024,3.3973862400000003,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,CV_ACTIVE_LC,cav,not_applicable,6910.5689447424,1.5071760400755023,21.846273024,3.3973862400000003,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,TLV_ACTIVE,cav,not_applicable,6970.5689447424,3.5,21.846273024,3.3973862400000003,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,TFV_ACTIVE,cav,not_applicable,6830.5689447424,3.5,21.846273024,3.3973862400000003,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,MV_ACTIVE_MERGE,cav,not_applicable,7019.000000000001,-1.804968828386724,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,CLV_MERGE,cav,not_applicable,7069.6,0.0,19.999999999999993,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,24,2.4000000000000004,CFV_MERGE,cav,not_applicable,6979.6,0.0,19.999999999999993,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,MV_CACHE,cav,not_applicable,6902.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,CLV_CACHE,cav,not_applicable,6951.922960485569,0.0,19.794747759852147,0.055341765178513636,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,CFV_CACHE,cav,not_applicable,6852.788641568582,0.0,22.19696826181818,3.5069523781818184,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,CV_ACTIVE_LC,cav,not_applicable,6912.788641568582,1.628521991225069,22.19696826181818,3.5069523781818184,lane_2,mainline,,executing,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,TLV_ACTIVE,cav,not_applicable,6972.786186952704,3.5,22.17242210304,3.261490790400001,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,TFV_ACTIVE,cav,not_applicable,6832.786186952704,3.5,22.17242210304,3.261490790400001,lane_1,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,MV_ACTIVE_MERGE,cav,not_applicable,7020.800000000001,-1.7060223329741588,18.0,0.0,on_ramp,on_ramp_mv,,normal,executing,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,CLV_MERGE,cav,not_applicable,7071.64,0.0,20.39999999999999,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,25,2.5000000000000004,CFV_MERGE,cav,not_applicable,6981.64,0.0,20.39999999999999,4.0,lane_2,mainline,,normal,none,commit
MVS-COMMIT-1-full,MVS-COMMIT-1-full-extended,26,2.6000000000000005,MV_CACHE,cav,not_applicable,6904.0,-3.5,20.0,0.0,on_ramp,on_ramp_mv,,normal,not_started,commit
